AVIR: Equity Bond = -54.71222539443548%
AVNW: Equity Bond = 8.59098357047952%
AVO: Equity Bond = -0.10847252889816643%
AVPT: Equity Bond = -0.5337034336523021%
AVR: Equity Bond = -20.986436727796963%
AVT: Equity Bond = 22.838440392230805%
AVTE: Equity Bond = -100.52463562899996%
AVTX: Equity Bond = -37.44210901318133%
AVXL: Equity Bond = -6.481661305347785%
AWRE: Equity Bond = -21.38462735628823%
AXDX: Equity Bond = -183.82339595574007%
AXGN: Equity Bond = -2.753640465873158%
AXON: Equity Bond = 0.3088630970051039%
AXSM: Equity Bond = -4.576710611539812%
AXTI: Equity Bond = -20.546508852033636%
AYRO: Equity Bond = -776.9054512291364%
AYTU: Equity Bond = -169.0734371083899%
AZPN: Equity Bond = -1.0795527907693976%
AZTA: Equity Bond = -1.2786485513436052%
BACK: Equity Bond = -419.633192666066%
Error for BACQ: 'Pretax Income'
Error for BACQR: 'Pretax Income'
Error for BACQU: 'Pretax Income'
BAER: Equity Bond = -55.123316950128945%
BAFN: Equity Bond = 12.2025809424693%
BAND: Equity Bond = -4.292255288748727%
BANF: Equity Bond = 6.973506840291077%
Error for BANFP: 'Pretax Income'
BANR: Equity Bond = 9.485980369155724%
BANX: Equity Bond = 13.572784365736235%
BASE: Equity Bond = -7.296755462030781%
BATRA: Equity Bond = -28.507158645513957%
BATRK: Equity Bond = -6.365196746275909%
Error for BAYA: 'Pretax Income'
Error for BAYAR: 'Pretax Income'
Error for BAYAU: 'Pretax Income'
BBCP: Equity Bond = 9.198115535115983%
BBGI: Equity Bond = -1302.241615726182%
BBIO: Equity Bond = -11.1393405830819%
BBLG: Equity Bond = -286.02228841904764%
BBSI: Equity Bond = 6.214555109991537%
BCAB: Equity Bond = -468.5639825596418%
BCAL: Equity Bond = 7.183916167581102%
BCAX: Equity Bond = -7.766185175138382%
BCBP: Equity Bond = 22.791049481234918%
BCDA: Equity Bond = -104.73280020587765%
BCG: Equity Bond = 1.4141400915262894%
BCML: Equity Bond = 12.503688060409871%
BCOV: Equity Bond = -10.7477751843119%
BCOW: Equity Bond = -12.286627362364799%
BCPC: Equity Bond = 2.6244110864952668%
BCRX: Equity Bond = -14.333228549296942%
BDSX: Equity Bond = -35.49237980497752%
BDTX: Equity Bond = -59.467591147435186%
Error for BEAGR: 'Pretax Income'
BEAM: Equity Bond = -6.1897730378358595%
BEAT: Equity Bond = -24.618229513908947%
BECN: Equity Bond = 8.059858302712932%
BEEM: Equity Bond = -41.93976537095145%
BELFA: Equity Bond = 48.45638204470997%
BELFB: Equity Bond = 10.215626990544964%
BENF: Equity Bond = -5089.18153824679%
BFC: Equity Bond = 9.843835168544226%
BFIN: Equity Bond = 7.735279658778568%
BFRG: Equity Bond = -26.72556647885293%
BFRI: Equity Bond = -202.40870891315507%
BFST: Equity Bond = 11.532231447498154%
BGC: Equity Bond = 1.6279003037284139%
BGFV: Equity Bond = -30.869367872016145%
BHF: Equity Bond = -41.40366963487964%
Error for BHFAL: 'Pretax Income'
BHFAP: Equity Bond = -59.72237256922094%
BHIL: Equity Bond = -836.0915950462959%
BHRB: Equity Bond = 2.647346850979389%
BIAF: Equity Bond = -71.52048405069186%
BIGC: Equity Bond = -13.180442295134624%
BIIB: Equity Bond = 6.252156410980023%
BIOA: Equity Bond = -37.817584812111114%
BIRD: Equity Bond = -441.67874646018106%
BIVI: Equity Bond = -176.7758375918776%
BJDX: Equity Bond = -501.51952451987984%
BJRI: Equity Bond = 1.1967075116566273%
Error for BKHA: 'Pretax Income'
Error for BKHAR: 'Pretax Income'
Error for BKHAU: 'Pretax Income'
BKNG: Equity Bond = 3.528854959589926%
